,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,1.3204522,1.3871968,1.3787928,1.361461,1.5776765,0.67772686,0.23225515,0.670014,1.4252136,0.6306303,1.3373259,1.188641,0.2843653,0.4419195,1.3139181,1.010958,0.8405871,0.95805156,1.5152813,1.4217647
21,1.7318633,1.681748,1.7487743,2.5971313,2.2799287,1.7646941,1.6228479,1.9497161,2.0353053,1.7186575,1.6027062,1.8298792,1.9173751,2.137837,1.8065202,1.6477174,1.755234,1.8241537,1.8990397,1.9279071
22,5.381587,6.611337,5.7183723,5.847133,5.1305647,5.790251,5.6259956,5.3899903,5.1452394,5.3606644,5.416078,5.2005577,5.7337003,5.9741983,6.045367,5.2049384,5.981951,6.186074,5.9255953,5.3988357
23,0.7544507,0.77815396,1.1566687,1.0438306,0.24792519,1.8191162,1.586862,0.29152092,1.2039313,1.2975366,0.5050126,1.2186702,1.5321512,0.6170226,2.0527935,1.0995574,0.90722436,1.4308331,1.0334607,0.5699788
24,5.648113,5.8334284,5.4369097,5.6050916,5.6360393,5.9265423,5.50001,5.6767874,6.2652383,5.717606,6.302803,5.667954,6.2803087,6.776722,5.9888005,6.8022118,6.091528,5.6057854,5.8160796,6.038671
25,5.5770063,6.776816,6.7127075,6.9007006,6.797086,5.7406836,6.2559137,6.3258734,6.105283,5.863777,6.349325,5.7729273,6.343565,5.886301,6.0405188,6.460998,6.362225,7.7188683,6.4120975,7.5547986
26,0.49695188,1.8364902,1.1858896,0.52981067,2.3339505,0.42889217,1.3534123,1.0312952,1.1536496,1.5737247,1.3655263,1.2844923,0.7403595,1.5549635,1.4790219,1.0331668,1.0601101,0.65205014,0.74636656,1.0707365
27,10.157182,9.45151,10.038687,10.180547,9.575727,8.28722,9.827457,10.132559,9.369811,8.755143,10.218459,10.007313,8.93438,9.516929,9.6650095,10.981617,10.037235,9.639198,9.512343,9.447332
28,14.156336,13.952658,14.757636,15.307986,15.806813,14.808458,14.331653,15.311061,14.403523,13.856667,14.888759,14.163288,15.176851,14.075224,15.329705,15.167038,14.099214,13.8595705,14.693636,14.727288
29,0.66372,0.5471876,0.568799,1.3495492,0.92539114,0.49082178,0.6267794,0.7219241,0.86315864,0.5617327,0.3124769,1.104722,0.9720799,0.9040184,1.1422211,1.3344338,0.49714187,1.000266,1.1159621,1.4798192
